symbol,a_date,a_open,a_high,a_low,a_close,a_length,a_min_max,b_date,b_open,b_high,b_low,b_close,b_length,b_min_max,c_date,c_open,c_high,c_low,c_close,c_length,c_min_max,d_date,d_open,d_high,d_low,d_close,d_length,d_min_max,trade_open,trade_risk_exit_price,trade_reward_exit_price,trade_enter_price,trade_current_price,trade_length,trade_pnl,trade_result,trade_date,trade_symbol,trade_bc_price_retracement,trade_cd_price_retracement,trade_snr,trade_year,trade_month,trade_day
ACET,2025-10-13,1.03,1.08,0.91,0.97,2,0.8952999711036682,2025-10-14,0.97,1.0,0.89,0.95,3,1.065000057220459,2025-10-16,1.01,1.06,1.0,1.03,10,0.75,2025-10-29,0.86,0.87,0.75,0.75,4,0.87,true,0.58,1.06,0.75,0.69,0,-0.05,,2025-11-04,ACET,89.4736842105263,163.15789473684208,0.75,2025,10,29
ACET,2025-10-13,1.03,1.08,0.91,0.97,9,0.8550000190734863,2025-10-23,0.91,0.91,0.85,0.86,2,0.9363999962806702,2025-10-24,0.87,0.93,0.87,0.88,4,0.75,2025-10-29,0.86,0.87,0.75,0.75,4,0.87,true,0.67,0.93,0.75,0.69,0,-0.05,,2025-11-04,ACET,34.782608695652186,78.26086956521738,0.75,2025,10,29
ACET,2025-10-16,1.01,1.06,1.0,1.03,6,0.8550000190734863,2025-10-23,0.91,0.91,0.85,0.86,2,0.9363999962806702,2025-10-24,0.87,0.93,0.87,0.88,4,0.75,2025-10-29,0.86,0.87,0.75,0.75,4,0.87,true,0.67,0.93,0.75,0.69,0,-0.05,,2025-11-04,ACET,38.095238095238116,85.71428571428571,0.75,2025,10,29
ACET,2025-10-21,0.99,1.02,0.89,0.92,3,0.8550000190734863,2025-10-23,0.91,0.91,0.85,0.86,2,0.9363999962806702,2025-10-24,0.87,0.93,0.87,0.88,4,0.75,2025-10-29,0.86,0.87,0.75,0.75,4,0.87,true,0.67,0.93,0.75,0.69,0,-0.05,,2025-11-04,ACET,47.0588235294118,105.88235294117648,0.75,2025,10,29
ADBE,2024-09-12,581.44,587.75,572.97,586.54,37,475.04998779296875,2024-11-01,475.41,485.16,475.04,482.79,26,557.89990234375,2024-12-09,556.09,557.89,546.11,547.92,214,327.5,2025-10-16,333.85,336.64,327.5,329.23,13,336.64,true,246.38,557.89,329.23,335.35,0,6.12,,2025-11-04,ADBE,73.5072309466773,204.40954662407952,327.5,2025,10,16
ADBE,2024-09-12,581.44,587.75,572.97,586.54,84,403.75,2025-01-13,404.26,409.95,403.75,408.5,23,465.69989013671875,2025-02-13,465.2,465.69,457.02,459.22,170,327.5,2025-10-16,333.85,336.64,327.5,329.23,13,336.64,true,267.29,465.69,329.23,335.35,0,6.12,,2025-11-04,ADBE,33.66304347826087,75.10326086956522,327.5,2025,10,16
ADBE,2024-12-09,556.09,557.89,546.11,547.92,23,403.75,2025-01-13,404.26,409.95,403.75,408.5,23,465.69989013671875,2025-02-13,465.2,465.69,457.02,459.22,170,327.5,2025-10-16,333.85,336.64,327.5,329.23,13,336.64,true,267.29,465.69,329.23,335.35,0,6.12,,2025-11-04,ADBE,40.18424808615544,89.65226417542495,327.5,2025,10,16
ADBE,2025-02-13,465.2,465.69,457.02,459.22,11,432.1029968261719,2025-02-28,438.16,440.36,432.1,438.55,4,453.260009765625,2025-03-05,443.64,453.26,443.1,451.23,157,327.5,2025-10-16,333.85,336.64,327.5,329.23,13,336.64,true,308.07,453.26,329.23,335.35,0,6.12,,2025-11-04,ADBE,62.99493896993148,374.3971420065498,327.5,2025,10,16
ADBE,2025-02-13,465.2,465.69,457.02,459.22,18,431.0,2025-03-11,432.88,441.32,431.0,433.66,2,443.8999938964844,2025-03-12,436.69,443.89,435.5,438.6,152,327.5,2025-10-16,333.85,336.64,327.5,329.23,13,336.64,true,316.34,443.89,329.23,335.35,0,6.12,,2025-11-04,ADBE,37.157682329201464,335.5145575093687,327.5,2025,10,16
ADBE,2025-03-05,443.64,453.26,443.1,451.23,5,431.0,2025-03-11,432.88,441.32,431.0,433.66,2,443.8999938964844,2025-03-12,436.69,443.89,435.5,438.6,152,327.5,2025-10-16,333.85,336.64,327.5,329.23,13,336.64,true,316.34,443.89,329.23,335.35,0,6.12,,2025-11-04,ADBE,57.90655884995503,522.8661275831089,327.5,2025,10,16
